county_name,ct_min1,R_0,epsilon,χ₁,χ₂,p_test₁,p_test₂,p_choose1,P_eff,schooleffect,extra_transmissibility,influx_exposed_new_variant,p_test_boost,χ_boost,E₀
Baringo,0.829029575,2.839056269,0.804708979,1.769744141,1.70647632,3.71E-05,0.000201172,0.893450916,0.991717934,0.626073078,1.144035907,98.68258351,1.0909891,1.164219607,0.095234469
Bomet,0.838777154,1.99995977,0.76121402,2.270086099,3.402440663,2.40E-05,0.000936717,0.795739784,0.993942347,0.93838568,1.828767144,89.88023755,1.0660136,1.107832431,0.362694419
Bungoma,0.849406299,1.933654486,0.731024659,2.334802798,1.376245968,6.12E-05,0.001190641,0.81893231,0.997686878,0.98147214,1.72669746,92.56066561,1.026340593,1.19112285,0.546529168
Busia,0.720883216,2.935845628,0.711078499,2.393583049,2.239973826,0.000255825,0.000142088,0.797591337,0.961822128,0.926133186,1.290380528,100.2805747,1.053441723,1.056280849,3.740261793
Elgeyo-Marakwet,0.783795535,2.366580352,0.917157523,1.701076418,2.50744358,1.03E-05,0.000171624,0.802285687,0.938490459,0.681840706,1.412720844,97.19587989,1.053179606,1.109270168,1.30444153
Embu,0.815791467,2.044874691,0.718023556,3.874664702,1.566966528,0.00011649,0.000129881,0.79825069,0.987010482,0.928857566,1.486856154,94.5509534,1.043162333,1.141030558,2.504401163
Garissa,0.848295939,2.697021641,0.994949331,1.943341025,3.755407703,7.35E-05,0.000200821,0.779108121,0.838357745,0.607267405,1.058878714,89.47451171,1.05142965,1.07630425,0.260893739
Homa Bay,0.871317134,1.821100207,0.763020261,2.163984237,1.419922136,2.84E-05,0.000655817,0.818237338,0.995959283,0.963853713,1.46270729,95.72044072,1.053376933,1.107633426,0.797795911
Isiolo,0.84717935,1.82097076,0.732601319,3.982961608,3.2892908,0.000102759,0.001206269,0.800129154,0.992681239,0.981563464,1.450033977,83.0216457,1.036038678,1.124265556,1.102992786
Kajiado,0.868462626,2.280821713,0.704475679,0.898629922,8.986879508,0.000397714,0.000187459,0.672235035,0.985816105,0.852560815,1.178763693,102.886067,1.023732708,1.212154362,3.909318785
Kakamega,0.792189781,2.09062398,0.769134589,2.021278433,1.08980539,4.56E-05,0.000770894,0.822235306,0.998020853,0.933711657,1.996968296,90.89109392,1.034965602,1.140213798,0.533921186
Kericho,0.826519352,2.228324359,0.741615538,3.565387023,2.712540424,0.000141475,0.001591155,0.81618961,0.993032824,0.86454915,1.632422262,95.68015039,1.064859672,1.058536275,0.215609716
Kiambu,0.90434325,2.938336389,0.996180036,1.602574236,8.053448423,8.22E-05,0.000681615,0.651244128,0.847438382,0.562580252,1.326320593,104.9504732,1.057568612,1.021760248,0.376187949
Kilifi,0.873646899,2.668601232,0.742341417,2.205769583,1.268347564,3.39E-05,0.000399795,0.91166296,0.619116858,0.588573071,1.044898944,86.49570216,1.030638793,1.03370621,1.541648005
Kirinyaga,0.795793957,1.956484919,0.761112643,2.986452221,2.771062464,5.32E-05,0.001018887,0.795766499,0.995530161,0.972198599,1.899928137,84.23049282,1.045574255,1.15609999,0.549773442
Kisii,0.854374618,1.969866892,0.742436326,2.955430856,1.253666642,8.88E-05,0.000173614,0.810745451,0.987165939,0.942165928,1.509508442,106.5095734,1.043693306,1.133372756,1.214220378
Kisumu,0.840351955,2.249491495,0.740646123,1.632217312,1.257043342,0.000199978,0.000119348,0.812885334,0.991243596,0.829945759,1.34679645,98.28300373,1.068295989,1.062897576,1.260909757
Kitui,0.921350586,1.801468048,0.709218387,2.120828542,2.871430312,6.92E-05,0.000280686,0.840008405,0.993408283,0.981247175,1.727284663,83.82483109,1.109434917,1.029178584,0.377111538
Kwale,0.691839062,4.049938528,0.707116698,1.222656217,1.167746648,8.32E-05,4.63E-05,0.925269687,0.964025783,0.63596586,1.147955925,92.61395893,1.173341322,1.019884808,0.483666585
Laikipia,0.93944726,2.166832271,0.998230178,0.672532135,7.251318321,4.52E-05,0.000788565,0.67776722,0.87652641,0.759958896,1.413584685,148.736732,1.098896822,1.08523548,0.054598832
Lamu,0.893100212,1.844133948,0.706597208,2.759422052,2.656484947,0.000355965,0.000156879,0.850335297,0.993663051,0.970078742,1.070786819,76.11803103,1.040140383,1.110426722,0.38328779
Machakos,0.943943398,2.270931218,0.993439955,0.59469555,7.276638358,8.79E-05,0.000826003,0.692094248,0.845819374,0.761464633,1.818763943,122.5816622,1.078414206,1.065368826,0.1335228
Makueni,0.923918396,1.746348668,0.709575261,1.606415848,1.866642594,5.79E-05,0.002128083,0.795859463,0.995243345,0.990376349,1.537514593,89.94888878,1.042215868,1.072508134,1.218785077
Mandera,0.747168216,2.744503679,0.719124866,1.596914751,2.27849944,9.51E-06,0.000172894,0.847507243,0.991508436,0.781295296,1.649456159,86.72796083,1.153351447,1.108035931,0.253646742
Marsabit,0.799594263,2.207859367,0.746568811,2.058871399,2.189043959,3.04E-05,0.000189865,0.866653996,0.99500119,0.884964291,1.6224336,91.06472592,1.061616955,1.105547149,0.167882594
Meru,0.895286672,2.09721638,0.99020857,1.090276877,5.209684442,3.06E-05,0.000669871,0.771814795,0.770114964,0.769308728,1.765350686,110.3585405,1.009502889,1.661070792,2.121055536
Migori,0.892738799,1.853746659,0.705069727,2.077653449,1.909914716,4.06E-05,0.002385224,0.814801079,0.992935931,0.966123923,1.304579017,98.70129423,1.033208318,1.126886461,3.008716564
Mombasa,0.802544381,2.294790202,0.976046864,3.152330024,1.282493941,0.000305692,0.000977291,0.403508049,0.543103718,0.792935235,1.254719353,99.00816187,1.025693806,1.191674732,19.78946399
Murang'a,0.990956651,1.808921455,0.996568127,1.078026938,11.3899718,0.000207338,0.001178826,0.698853068,0.765827929,0.904134154,1.814085102,102.2224434,1.013081267,1.693168065,0.074642956
Nairobi,0.876089255,2.425797027,0.93926785,4.557586052,2.113576452,0.000507865,0.000971154,0.421170913,0.552221494,0.729805342,1.286860334,98.79979292,1.201639099,1.02166446,5.339010102
Nakuru,0.84940375,2.537094224,0.985681568,0.613709087,3.105811387,3.16E-05,0.00040205,0.646788976,0.660798388,0.681063193,1.320180561,105.6942967,1.475002662,1.012200414,0.911325937
Nandi,0.85421836,2.167355043,0.762229298,1.762887566,0.682183377,4.73E-05,0.001033401,0.816826568,0.995530565,0.841390589,1.739862426,96.9341767,1.074707029,1.081656033,0.244068067
Narok,0.90896408,2.28585195,0.706734183,1.773558246,1.896352933,2.20E-05,0.000486859,0.865077562,0.988910533,0.804663079,1.230632842,97.93725738,1.033647443,1.131626992,0.215268648
Nyamira,0.83723065,1.747582238,0.825115809,1.854098408,2.426057483,5.84E-05,0.000362728,0.805079756,0.993802816,0.969110418,1.825185457,79.55363425,1.05631644,1.146088379,1.419365986
Nyandarua,0.840748978,1.841664795,0.788323607,2.313788212,1.593864238,5.57E-05,0.000701204,0.819264155,0.996468858,0.961223356,2.108120755,90.24295403,1.121955293,1.135899636,0.849032291
Nyeri,0.837635185,2.022937133,0.707037939,2.710237721,2.121469577,0.000103628,0.001056799,0.755486968,0.9922522,0.938939229,1.745146642,96.65444943,1.038167923,1.074618066,0.920180196
Samburu,0.838510463,1.952049326,0.719951896,2.079779598,1.925968169,5.25E-05,0.000321711,0.880849484,0.993372102,0.968012677,1.473742245,84.45532879,1.048352216,1.115451807,0.156167786
Siaya,0.79554508,2.227168621,0.710496573,1.369429449,0.941036302,6.20E-05,0.000246878,0.832235674,0.990496547,0.884659123,1.456306785,86.78901733,1.075786581,1.057288407,3.566324135
Taita Taveta,0.78811821,2.310127065,0.705153681,2.557293093,0.749062862,0.000303222,0.000319775,0.825299444,0.978774689,0.875699484,1.253132333,77.20919432,1.024941691,1.130694312,6.626901819
Tana River,0.820538304,1.984533378,0.741700924,1.732179964,2.076258996,2.82E-05,0.00024847,0.860307463,0.993594674,0.957215945,1.355136813,90.34554714,1.065892059,1.098805228,0.131186629
Tharaka-Nithi,0.791420227,2.473950967,0.998465018,0.662658702,7.577760733,1.47E-05,0.000237272,0.697373151,0.866786435,0.701758575,1.808263394,80.00278519,1.113966609,1.111769507,0.697762656
Trans Nzoia,0.936407055,1.686921769,0.876567609,1.839557866,3.035538066,2.05E-05,0.000553968,0.805873908,0.916201663,0.876596325,1.537245205,87.47088703,1.041570466,1.137953402,1.573409147
Turkana,0.845957729,2.403376969,0.715037079,3.295790127,2.047845491,0.000267145,0.000176574,0.887321188,0.992903537,0.807691946,1.276278729,100.766913,1.020928502,1.266800275,0.215083624
Uasin Gishu,0.845611399,2.160440876,0.707818708,2.173320903,1.086696225,0.00017094,0.000507758,0.829874512,0.989176153,0.880573748,1.585394968,85.81922801,1.209658045,1.067130368,2.947393006
Vihiga,0.824810726,1.889107823,0.761754655,1.648544189,1.519940968,2.34E-05,0.000470004,0.814210968,0.994070776,0.963525434,1.762353081,87.73646101,1.061377421,1.124962898,1.518416616
Wajir,0.710052893,3.295629139,0.73055737,1.479544258,1.823935567,6.29E-06,0.000130734,0.878453795,0.979812407,0.722927136,1.112536138,103.7618062,1.058912789,1.111750777,0.211450794
West Pokot,0.78497804,2.46710003,0.919781222,2.07625902,1.58737994,1.32E-05,0.000119248,0.901265983,0.937782758,0.693634023,1.554050223,96.56739725,1.068889816,1.114060401,0.117693952